station_id,lat,lon,source,source_ref
adly_mansour,30.147050742,31.421438466,wikidata,Q106678973
el_haykestep,30.143767989,31.404706130,wikidata,Q106678974
omar_ibn_el_khattab,30.140420995,31.394126611,wikidata,Q106678975
qobaa,30.134789745,31.383855947,wikidata,Q106678976
hesham_barakat,30.131077785,31.372880193,wikidata,Q106678977
el_nozha,30.128230814,31.360044497,wikidata,Q106678978
el_shams_club,30.122310000,31.343970000,wikidata,Q106678979
alf_maskan,30.118070000,31.339830000,wikidata,Q106678980
heliopolis,30.107950000,31.338180000,wikidata,Q106678981
haroun,30.101110000,31.332760000,wikidata,Q106678982
el_ahram,30.091320000,31.326500000,wikidata,Q106678983
girls_college,30.083660000,31.328820000,wikidata,Q106678984
stadium,30.072940000,31.317400000,wikidata,Q106678985
ard_el_maared,30.073320000,31.301130000,wikidata,Q18379756
abbassia,30.069700000,31.280900000,wikidata,Q18161422
abdo_pasha,30.064800000,31.274800000,wikidata,Q18349827
el_geish,30.061888890,31.266861110,wikidata,Q20717306
bab_el_shaaria,30.054000000,31.256000000,wikidata,Q20311888
attaba,30.052420000,31.246900000,wikidata,Q10275582
nasser,30.053560000,31.238800000,wikidata,Q10275821
maspero,30.055500000,31.232220000,wikidata,Q106678986
safaa_hegazy,30.062400000,31.222520000,wikidata,Q106678987
kit_kat,30.066790000,31.212990000,wikidata,Q106678989
sudan,30.069800000,31.205310000,wikidata,Q106678990
imbaba,30.075850000,31.207460000,wikidata,Q10275868
el_bohy,30.082120000,31.210480000,wikidata,Q106678991
el_qawmeya_el_arabia,30.093200000,31.208860000,wikidata,Q106678992
ring_road,30.096410000,31.199590000,wikidata,Q106678993
rod_el_farag,30.101880000,31.184150000,wikidata,Q106678994
el_tawfikia,30.065310000,31.202370000,wikidata,Q106678995
wadi_el_nil,30.058450000,31.201040000,wikidata,Q106678996
gamaet_el_dowal,30.050930000,31.199760000,wikidata,Q106678997
boulak_el_dakrour,30.036210000,31.196460000,wikidata,Q106678998
cairo_university,30.025980000,31.201190000,wikidata,Q10276203
